"word,""count"",""Filename"";""Filename"""
"forget,""4"",""2020-06-11.csv"";"
"plymouth,""4"",""2020-06-11.csv"";"
"welcome,""3"",""2020-06-11.csv"";"
"labour,""3"",""2020-06-11.csv"";"
"gething,""3"",""2020-06-11.csv"";"
"sevilleroberts,""3"",""2020-06-11.csv"";"
"mp,""3"",""2020-06-11.csv"";"
"commons,""3"",""2020-06-11.csv"";"
"group,""3"",""2020-06-11.csv"";"
"writing,""3"",""2020-06-11.csv"";"
"booker,""3"",""2020-06-11.csv"";"
"prize,""3"",""2020-06-11.csv"";"
"her,""3"",""2020-06-11.csv"";"
"educating,""3"",""2020-06-11.csv"";"
"owners,""3"",""2020-06-11.csv"";"
"regards,""3"",""2020-06-11.csv"";"
"ithink,""3"",""2020-06-11.csv"";"
"least,""3"",""2020-06-11.csv"";"
"democratic,""3"",""2020-06-11.csv"";"
"absolutely,""3"",""2020-06-11.csv"";"
"utterty,""3"",""2020-06-11.csv"";"
"await,""3"",""2020-06-11.csv"";"
"respect,""3"",""2020-06-11.csv"";"
"prosecuted,""3"",""2020-06-11.csv"";"
"investigation,""3"",""2020-06-11.csv"";"
"ongoing,""3"",""2020-06-11.csv"";"
"underpinning,""3"",""2020-06-11.csv"";"
"became,""3"",""2020-06-11.csv"";"
"reports,""3"",""2020-06-11.csv"";"
"powerful,""3"",""2020-06-11.csv"";"
"airbrushing,""3"",""2020-06-11.csv"";"
"regimes,""3"",""2020-06-11.csv"";"
"progress,""3"",""2020-06-11.csv"";"
"removed,""3"",""2020-06-11.csv"";"
"lost,""3"",""2020-06-11.csv"";"
"symbol,""3"",""2020-06-11.csv"";"
"wider,""3"",""2020-06-11.csv"";"
"events,""3"",""2020-06-11.csv"";"
"giving,""3"",""2020-06-11.csv"";"
"object,""3"",""2020-06-11.csv"";"
"primarily,""3"",""2020-06-11.csv"";"
"women,""3"",""2020-06-11.csv"";"
"class,""3"",""2020-06-11.csv"";"
"ways,""3"",""2020-06-11.csv"";"
